cell,cond,bucket,n,dates,mean5,t5,hit,mean10,t10,train_t,test_t,test_mean,base_mean,confirmed
donchian20_down/forming,rsi,30-45,2044,450,0.015660612050194027,0.3778518559970996,0.5259295499021527,0.10885300602464634,-0.3236449164300756,0.8907564639523853,-0.45340767387080905,-0.18347249093624235,0.08968829758193658,False
donchian20_down/forming,rsi,45-55,681,318,0.3279371128542059,0.5750532442614281,0.5374449339207048,0.46437656226897606,1.4537501867196283,0.21242774343415607,0.6522206399650594,0.3605173450554227,0.08968829758193658,False
donchian20_down/forming,atr_pct,high,1018,350,0.03599557491720306,0.7861809908128442,0.5265225933202358,-0.2719759767589017,-0.7414952441994476,1.1715026699119389,-0.36261899443736034,-0.2839143350995791,0.08968829758193658,False
donchian20_down/forming,atr_pct,low,1061,354,0.1093702634881773,-0.21843507861398237,0.528746465598492,0.2928583275708697,1.0280109075850932,0.0018146178469834015,-0.41212658562358395,-0.006625857325165558,0.08968829758193658,False
donchian20_down/forming,atr_pct,mid,1011,375,0.12309742304798739,1.3047608379942173,0.5410484668644906,0.482431819487189,2.4486228111097668,1.44581620311461,0.30459155561752,-0.151616196769996,0.08968829758193658,False
donchian20_down/forming,price,$2-10,1541,424,-0.07899700274707262,-0.5218816176768566,0.5217391304347826,-0.018511892193890895,-0.6241138944003104,0.6750415351001083,-1.7524052586603214,-0.45227224143994527,0.08968829758193658,False
donchian20_down/forming,price,>$10,1159,388,0.285963327818446,1.4223232005776403,0.543572044866264,0.5423656617527962,1.7184009409899812,1.4937409208401138,0.3901781236780035,-0.026529324696013684,0.08968829758193658,False
donchian20_down/forming,vs_ema20,below,2888,464,0.04791786153535874,0.1926120228763659,0.5287396121883656,0.13460043141488617,-0.026725079033833476,0.9914230958055809,-0.9109047229159543,-0.2117951852085926,0.08968829758193658,False
donchian20_down/forming,mkt20,mkt flat,2132,320,0.1178046422593665,1.0187723623047513,0.5318949343339587,0.20686271789314892,0.3565490064446919,1.4579735574615267,-0.39649561078840523,-0.23464636682397708,0.08968829758193658,False
donchian20_up/confirmed,vol_ratio,1-2x,1713,417,-0.19211546272312954,-1.1190234407182675,0.45942790426152946,-0.3913651497437473,-0.8598081128638246,-0.8175544077037009,-0.76303375104515,-0.27730604796380937,-0.0724265031392389,False
donchian20_up/confirmed,vol_ratio,2-3x,563,296,-0.144658793562604,0.05464690213919934,0.4547069271758437,0.1393041859821731,1.0337744226038013,0.10854578472306868,-0.050121577039203634,-0.2682249521327364,-0.0724265031392389,False
donchian20_up/confirmed,vol_ratio,>=3x,407,231,0.5312441781274914,2.2307483003894553,0.515970515970516,0.966730959635648,2.673340837367011,2.7292433227068043,-0.4012172371594135,-0.5493618643495336,-0.0724265031392389,False
donchian20_up/confirmed,rsi,55-70,1807,432,-0.2611978115748802,-0.7085908289979612,0.448256779192031,-0.26465617967201616,0.4881305434130682,-0.08739320516149872,-0.9875488315315322,-0.4029381596055286,-0.0724265031392389,False
donchian20_up/confirmed,rsi,>70,855,336,0.36365124462480325,1.4145765426399664,0.5052631578947369,0.36745363755741056,0.7080247053694965,1.9632265380607545,-0.58716344803229,0.04983933875012454,-0.0724265031392389,False
donchian20_up/confirmed,atr_pct,high,875,343,0.5325110751432306,1.8216707808002583,0.48914285714285716,0.6237626355047464,2.0325901480480186,2.2618541433486743,-0.20869416279523342,-0.08064307623371432,-0.0724265031392389,False
donchian20_up/confirmed,atr_pct,low,858,321,-0.5460641822023137,-2.7452372460942067,0.4592074592074592,-0.7148701325366262,-2.352174277597575,-2.4439466122031073,-1.2923335415433617,-0.8796494329045987,-0.0724265031392389,False
donchian20_up/confirmed,atr_pct,mid,950,359,-0.2018362424666521,-1.2977022312407394,0.4536842105263158,-0.13775096201044673,-0.4277582331506966,-1.0184855365522172,-0.8091436652614643,-0.2626166355626705,-0.0724265031392389,False
